年月	費目	金額[円]
2022-01	給与収入	420000
2022-01	夫婦生活費	-180000
2022-01	夫小遣い	-20000
2022-01	妻小遣い	-20000
2022-01	住宅ローン返済	-120000
2022-01	現金支出（明細なし）	-25000
2022-02	給与収入	420000
2022-02	夫婦生活費	-180000
2022-02	夫小遣い	-20000
2022-02	妻小遣い	-20000
2022-02	住宅ローン返済	-120000
2022-02	現金支出（明細なし）	-25000
2022-03	給与収入	420000
2022-03	夫婦生活費	-180000
2022-03	夫小遣い	-20000
2022-03	妻小遣い	-20000
2022-03	住宅ローン返済	-120000
2022-03	現金支出（明細なし）	-25000
2022-04	給与収入	420000
2022-04	夫婦生活費	-180000
2022-04	夫小遣い	-20000
2022-04	妻小遣い	-20000
2022-04	住宅ローン返済	-120000
2022-04	現金支出（明細なし）	-25000
2022-05	給与収入	420000
2022-05	夫婦生活費	-180000
2022-05	夫小遣い	-20000
2022-05	妻小遣い	-20000
2022-05	住宅ローン返済	-120000
2022-05	現金支出（明細なし）	-25000
2022-06	給与収入	420000
2022-06	夫婦生活費	-180000
2022-06	夫小遣い	-20000
2022-06	妻小遣い	-20000
2022-06	住宅ローン返済	-120000
2022-06	現金支出（明細なし）	-25000
2022-07	給与収入	420000
2022-07	夫婦生活費	-180000
2022-07	夫小遣い	-20000
2022-07	妻小遣い	-20000
2022-07	住宅ローン返済	-120000
2022-07	現金支出（明細なし）	-25000
2022-08	給与収入	420000
2022-08	夫婦生活費	-180000
2022-08	夫小遣い	-20000
2022-08	妻小遣い	-20000
2022-08	住宅ローン返済	-120000
2022-08	現金支出（明細なし）	-25000
2022-09	給与収入	420000
2022-09	夫婦生活費	-180000
2022-09	夫小遣い	-20000
2022-09	妻小遣い	-20000
2022-09	住宅ローン返済	-120000
2022-09	現金支出（明細なし）	-25000
2022-10	給与収入	420000
2022-10	夫婦生活費	-180000
2022-10	夫小遣い	-20000
2022-10	妻小遣い	-20000
2022-10	住宅ローン返済	-120000
2022-10	現金支出（明細なし）	-25000
2022-11	給与収入	420000
2022-11	夫婦生活費	-180000
2022-11	夫小遣い	-20000
2022-11	妻小遣い	-20000
2022-11	住宅ローン返済	-120000
2022-11	現金支出（明細なし）	-25000
2022-12	給与収入	420000
2022-12	夫婦生活費	-180000
2022-12	夫小遣い	-20000
2022-12	妻小遣い	-20000
2022-12	住宅ローン返済	-120000
2022-12	現金支出（明細なし）	-25000
2023-01	給与収入	420000
2023-01	夫婦生活費	-180000
2023-01	子1生活費	-30000
2023-01	夫小遣い	-20000
2023-01	妻小遣い	-20000
2023-01	住宅ローン返済	-120000
2023-01	現金支出（明細なし）	-25000
2023-02	給与収入	420000
2023-02	夫婦生活費	-180000
2023-02	子1生活費	-30000
2023-02	夫小遣い	-20000
2023-02	妻小遣い	-20000
2023-02	住宅ローン返済	-120000
2023-02	現金支出（明細なし）	-25000
2023-03	給与収入	420000
2023-03	夫婦生活費	-180000
2023-03	子1生活費	-30000
2023-03	夫小遣い	-20000
2023-03	妻小遣い	-20000
2023-03	住宅ローン返済	-120000
2023-03	現金支出（明細なし）	-25000
