項目	一般物価に対する比または差	理由
夫婦生活費	119.5%	買うものの値段が上がれば同じ暮らしの費用も上がる。比は 1÷0.8366＝119.5%——総合の 16.34% は持家の帰属家賃で、持ち家のこの買っていない（README.md）
子生活費	100.0%	同上。就学段階で引く額で年を持たないので、実質の基準年の物価とみなす
医療費	100.0%	窓口負担は診療報酬の改定で動く。過去 14 年の改定率は年率 ▲0.131% で、同じ期間の CPI 総合 +1.352%/年 に対し比は負になる。それでも 100% に置く——政策の決定を 68 年に伸ばす根拠が弱く、令和8年度に物価対応分が改定率に入り、100% は支出を多く見せる側だから（README.md）
小遣い	100.0%	夫婦生活費と同じ理由
臨時費用	100.0%	将来の年に書かれた額は今の物価で書かれている
教育費	100.0%	就学段階で引く額で年を持たないので、実質の基準年の物価とみなす
生命保険料	0.0%	契約が名目額を定めている。物価が動いても保険料は動かない
火災保険料	0.0%	契約が名目額を定めている。改定は更新のたびに実額で書き直す
地震保険料	0.0%	契約が名目額を定めている。改定は更新のたびに実額で書き直す
家賃	100.0%	相場が動けば家賃も動く
頭金	0.0%	2023 年に払った実額。物価がどう動いても払った額は変わらない
ローン返済	0.0%	固定金利の契約。償還表が名目額を定めている
住宅維持費	+0.541pt	2050 年と 2080 年の修繕費は今の物価で書かれている。差は 1990→2025 年度の 35 年で測った 1.1629%/年 − 0.6219%/年 ＝ +0.541pt——建設工事費デフレーター（住宅総合）と CPI 総合。**比ではなく差で持つ**——建設費と消費者物価は別の市場で、比が一定である理由が無い。比の形は同じ観測をインフレ率に比例して膨らませ、採用していた 187% は資料の言う実質 1.35 倍に対し 2.58 倍を主張していた。差は窓の取り方で +0.262pt〜+1.428pt（5 年刻み起点・2025 年度終端の 10 窓）に振れる。**窓を 1 つ選ぶ根拠は無いので選んでいない**——幅は scenario/repair-low.tsv（+0.262pt）と scenario/repair-high.tsv（+1.428pt）を compare に並べて見ること（README.md）
積立額	100.0%	書く人が今日の物価で書いた額。暮らしの費用が上がれば同じ実質の積立を続けるには名目を上げる。名目に据え置くと収入だけが伸びて積立が伸びず、差が運用されない現金として積み上がる——π が高い場合の実質最終資産を大きく少なく見せていた
貯蓄維持目標	100.0%	同上。手元に置く現金は「何か月ぶんの暮らし」であって円の額ではない
小規模企業共済等掛金	0.0%	法定の上限であって選んだ額ではない。控除や税率表と同じで、制度が変わるまで統計の物価では動かさない
